Goalie,ClutchSV%,SV%,Difference
C. Anderson,90.78282828,90.2,0.582828283
F. Andersen,91.2923923,90.9,0.392392301
J. Binnington,90.98671727,91.2,-0.213282732
B. Holtby,90.41227229,89.7,0.712272291
M. Smith,90.68564036,90.2,0.485640362
J. Markstrom,91.50460594,91.8,-0.295394063
M. Fleury,90.37610619,90.5,-0.123893805
M. Jones,89.62765957,89.6,0.027659574
A. Vasilevsky,92.1875,91.7,0.4875
S. Bobrovsky,90.78822412,90,0.788224122
H. Lundqvist,90.19264448,90.5,-0.307355517
C. Hellebuyck,92.05147615,92.2,-0.148523846
C. Hutton,89.40609952,89.8,-0.393900482
M. Murray,91.0326087,89.9,1.132608696
P. Mrazek,90.35460993,90.5,-0.145390071
C. Price,90.63517915,90.9,-0.264820847
D. Dubnyk,88.8372093,89,-0.162790698
P. Rinne,89.73647712,89.5,0.236477115
T. Rask,92.83154122,92.9,-0.068458781
B. Bishop,92.14830971,92,0.148309706
D. Rittich,90.43902439,90.7,-0.26097561
P. Grubauer,91.7843389,91.6,0.184338896
J. Gibson,89.78644383,90.4,-0.613556175
D. Kuemper,92.35209235,92.8,-0.447907648
M. Blackwood,91.35913591,91.5,-0.140864086
S. Varlamov,92.45667686,91.4,1.05667686
J. Korpisalo,91.27086008,91.1,0.170860077
C. Hart,91.92708333,91.4,0.527083333
C. Crawford,92.23404255,91.7,0.534042553
A. Georgiev,91.5912031,91,0.591203105
E. Merzlikins,93.16005472,92.3,0.86005472
J. Howard,88.64774624,88.2,0.447746244
J. Saros,92.25092251,91.4,0.850922509
J. Halak,93.33333333,91.9,1.433333333
J. Quick,90.92896175,90.4,0.528961749
A. Dell,91.10807114,90.7,0.408071135
J. Bernier,90.44715447,90.7,-0.252845528
A. Khudobin,93.25153374,93,0.251533742
T. Greiss,91.66666667,91.3,0.366666667
L. Ullmark,91.63346614,91.5,0.133466135
M. Koskinen,92.10526316,91.7,0.405263158
P. Francouz,92.20588235,92.3,-0.094117647
A. Raanta,92.68965517,92.1,0.589655172
T. Jarry,92.92168675,92.1,0.821686747
A. Stalock,90.76246334,91,-0.237536657
R. Lehner,92.20588235,92,0.205882353
